uid,profession,pid,item_description,price,category,site_name
0,ME,972,"#10 x 2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
0,ME,854,"1/2"" {A} x 1"" {B} 4140 Cold Finished, Annealed - By the Inch",0.74,"Alloy|Flat|Cold Finished|1/2"" {A} x 1"" {B} 4140 Cold Finished, Annealed",Speedy Metals
0,ME,807,"3/8"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 12""",9.79,"Alloy|Flat|Cold Finished|3/8"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
0,ME,822,"3/8"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - By the Inch",1.54,"Alloy|Flat|Cold Finished|3/8"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
0,ME,906,"#10-16 x 1-1/2"" Bi-Flex® 300 Series Bi-Metal Self-Drilling Screws with Wings, Flat Head with #2 Phillips Drive, #3 Point, Hardened Steel Tapping Threads and Point, 18-8 Stainless Steel Head and Shank with Stalgard GB Coating",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
0,ME,965,"#10 x 1-1/4 Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
0,ME,962,"#10 x 1/2 Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
0,ME,779,"1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - 48""",48.86,"Alloy|Flat|Cold Finished|1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
1,CE,1012,"#25 X 2"" TORX® Equivalent (6-Lobe) Security 1/4"" Hex Bit",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
1,CE,923,"#10 x 1-1/2"" Self-Drilling Screws - Wood to Metal Reamers, Phillips Wafer Head, #3 Point, Cabon Steel with Gray Stalgard Coating, Made in USA",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
1,CE,966,"#10 x 1-1/2 Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
1,CE,972,"#10 x 2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
1,CE,1015,"#40 X 2"""" Torx® Equivalent Security 1/4"""" Hex Bit",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
1,CE,899,"1/2"" {A} x 3-1/2"" {B} 4140 Cold Finished, Annealed - 48""",98.84,"Alloy|Flat|Cold Finished|1/2"" {A} x 3-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
1,CE,889,"1/2"" {A} x 3"" {B} 4140 Cold Finished, Annealed - 24""",45.01,"Alloy|Flat|Cold Finished|1/2"" {A} x 3"" {B} 4140 Cold Finished, Annealed",Speedy Metals
1,CE,770,"1/4"" {A} x 2"" {B} 4140 Cold Finished, Annealed - 36""",29.73,"Alloy|Flat|Cold Finished|1/4"" {A} x 2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
1,CE,773,"1/4"" {A} x 2"" {B} 4140 Cold Finished, Annealed - 72""",57.72,"Alloy|Flat|Cold Finished|1/4"" {A} x 2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
1,CE,848,"1/2"" {A} x 3/4"" {B} 4140 Cold Finished, Annealed - 18""",10.44,"Alloy|Flat|Cold Finished|1/2"" {A} x 3/4"" {B} 4140 Cold Finished, Annealed",Speedy Metals
2,CPE,683,Dosatron® D25RE10 Injector,915.59,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
2,CPE,945,"1/4""-20 x 3-1/2"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, #3 Phillips Driver, Tanner Pro Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
2,CPE,990,"#14 x 1-1/2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
2,CPE,958,"#8 x 1-5/8"" Cement Board Self-Drilling Screws, Phillips Wafer Head, #2 Point, #2 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
2,CPE,992,"#14 x 2-1/2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
2,CPE,952,"#10-16 x 1-13/16"" Self-Drilling Screws with Pilot Point, Flat Head with Combo Phillips / Square Drive, #3 Point, Tanner Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
2,CPE,568,DC CUTOFF WHEEL 4.5X1/4X7/8 NRTN MTL,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
2,CPE,866,"1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 36""",33.75,"Alloy|Flat|Cold Finished|1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
2,CPE,953,"#10 x 2"" Self-Drilling Architectural Clip Screws, Low Profile Head with Combo Phillips / Square Drive, #3 Point, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
2,CPE,947,"1/4""-20 x 3-3/4"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, #3 Phillips Driver, Tanner Pro Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
2,CPE,866,"1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 36""",33.75,"Alloy|Flat|Cold Finished|1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
2,CPE,475,SURFACE BLENDING WHL 6X1X1,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
2,CPE,546,GRINDING WHEEL 7X1/4X5/811 LL DISC,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
2,CPE,972,"#10 x 2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 20TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
2,CPE,714,Dosatron® D8R Medicator Repair Parts,48.81,"Commercial & Industrial|Horticulture & Greenhouse|Injectors, Medicators, Proportioners",QC Supply
3,CE,902,"#8-18 x 3/4"" Bi-Flex® 300 Series Bi-Metal Self-Drilling Screws, Pan Head with #2 Phillips Drive, #2 Point, Hardened Steel Tapping Threads and Point, 18-8 Stainless Steel Head and Shank with Stalgard GB Coating",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
3,CE,990,"#14 x 1-1/2"" Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
3,CE,1049,"#10-16 x 1-1/2"" Drilit® Self-Drilling Screws, 5/16"" High Hex Washer Head, #3 Drilit® Point, Carbon Steel with Stalgard Coating, Made in USA",nan,"Fasteners|Screws|Self Drilling Screws|Elco Self-Drilling Screws|Standard Drilit® Self-Drilling Screws, Made in USA|Drilit® Self-Drilling Screws, Hex Washer Head, Made in USA",Tanner Bolt
3,CE,875,"1/2"" {A} x 2"" {B} 4140 Cold Finished, Annealed - 48""",57.45,"Alloy|Flat|Cold Finished|1/2"" {A} x 2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,869,"1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 72""",65.53,"Alloy|Flat|Cold Finished|1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,824,"3/8"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - 18""",23.45,"Alloy|Flat|Cold Finished|3/8"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,781,"1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - 72""",71.85,"Alloy|Flat|Cold Finished|1/4"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,1023,#15 TORX® Equivalent (6-Lobe) Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
3,CE,564,DC CUTOFF WHEEL 4X1/4X5/8 MINI DISC,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
3,CE,233,Slip Roll Machine SR-5016M,2195.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Slip & Plate Rolls|Slip Rolls",Bailiegh Industrial
3,CE,470,DC CUTOFF WHEEL 9X1/4X5/8-11 NRTN MTL,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
3,CE,931,"#12-24 x 2-1/4"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, Cabon Steel with Gray Stalgard Coating, Made in USA",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
3,CE,243,Plate Roll PR-503,24895.0,"Metalworking|Sheet Metal Brakes, Rolls & Shears|Slip & Plate Rolls|Three Roll Plate Rolls",Bailiegh Industrial
3,CE,798,"3/8"" {A} x 1"" {B} 4140 Cold Finished, Annealed - By the Inch",0.78,"Alloy|Flat|Cold Finished|3/8"" {A} x 1"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,462,4-1/2X1/4X5/8 NZ PLUS T27,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
3,CE,914,"1/4""-20 x 2-13/16"" Bi-Flex® 300 Series Bi-Metal Self-Drilling Screws with Wings, Flat Head with #3 Phillips Drive, #5 Point, Hardened Steel Tapping Threads and Point, 18-8 Stainless Steel Head and Shank with Stalgard GB Coating",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
3,CE,1046,"#10-16 x 3/4"" Drilit® Self-Drilling Screws, 5/16"" High Hex Washer Head, #1 Drilit® Point, Carbon Steel with Stalgard Coating, Made in USA",nan,"Fasteners|Screws|Self Drilling Screws|Elco Self-Drilling Screws|Standard Drilit® Self-Drilling Screws, Made in USA|Drilit® Self-Drilling Screws, Hex Washer Head, Made in USA",Tanner Bolt
3,CE,888,"1/2"" {A} x 3"" {B} 4140 Cold Finished, Annealed - 18""",34.24,"Alloy|Flat|Cold Finished|1/2"" {A} x 3"" {B} 4140 Cold Finished, Annealed",Speedy Metals
3,CE,571,4-1/2X1/4X5/8 NZ PLUS T27,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
3,CE,946,"1/4""-20 x 3-1/2"" Self-Drilling Screws with Wings - Wood to Metal Reamers, Phillips Flat Head, #4 Point, #3 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
3,CE,163,Exhaust Bender EB-300,9095.0,Metalworking|Tube & Pipe Benders|Exhaust Benders,Bailiegh Industrial
3,CE,582,DC CUTOFF WHEEL 5X1/4X7/8 MINI DISC,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
3,CE,592,DC CUTOFF WHEEL 5X1/4X7/8 NRTN MTL,nan,Abrasives|Cutting and Grinding (443)|Grinding & Sharpening (268)|Portable Grinding (182),dillonsupply.com
4,IE,1025,#25 TORX® Equivalent (6-Lobe) Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
4,IE,957,"#8 x 1-1/4"" Fiber Cement Board Self-Drilling Screws, Phillips Wafer Head, #2 Point, #2 Phillips Driver, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
4,IE,1026,#27 TORX® Equivalent (6-Lobe) Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
4,IE,989,"#14 x 3 Tamper-Resistant Self Drilling Screws, Torx® Equivalent 6-Lobe with Solid Post, Flat Head, Driver Size: 27TXH, Hardened 410 Stainless Steel",nan,"Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Flat Head, Hardened 410 Stainless Steel",Tanner Bolt
4,IE,951,"#10 x 1-1/2"" Self-Drilling Architectural Clip Screws, Low Profile Head with Combo Phillips / Square Drive, #3 Point, Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
4,IE,1003,"#50 Torx® Equivalent Security 5/16"""" Hex Bit",nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
4,IE,937,"1/4""-20 x 2-3/4"" Torx Self-Drilling Screws with Wings - Wood to Metal Reamers, #4 Point, T27 Driver, Tanner Pro Ultra-Guard Corrosion Resistant Coating, Globally Sourced",nan,Fasteners|Screws|Self Drilling Screws,Tanner Bolt
4,IE,1026,#27 TORX® Equivalent (6-Lobe) Security Screw Driver Power Handle,nan,Fasteners|Screws|Self Drilling Screws|Torx Tamper-Resistant Self-Drilling Screws|Torx Security Bits & Tools,Tanner Bolt
5,EE,145,Productivity2000 starter kit with Ethernet.,549.0,Programmable Controllers|Productivity Series ...|Productivity2000 (Mi...|CPUs & Remotes,Automation Direct
5,EE,499,7 X1/8 T27 C/O & LT GRDNG WHL A24T 7/8,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
5,EE,495,55572 METABO DISC 9X1/4X5/8,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
5,EE,452,DC CUTOFF WHEEL T 27 4.5X1/8X7/8 GEM,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
5,EE,56,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, red. For use with 10/100/1000 Mbps networks.",26.0,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
5,EE,493,55307 METABO WHEEL 4-1/2X1/4,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
5,EE,98,"CLICK discrete input module, 8-point, 24 VAC/VDC, sinking/sourcing, 2 isolated common(s), 4 point(s) per common. Removable terminal block included.",36.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|AC I/O & Relay Outputs,Automation Direct
5,EE,429,"Dynabrade® 57799 Vacuum Disc Backing Pad, 5 Holes, 5 in Dia, 5/16-24 Male, Hook Attachment",40.84,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,EE,803,"3/8"" {A} x 1"" {B} 4140 Cold Finished, Annealed - 48""",30.56,"Alloy|Flat|Cold Finished|3/8"" {A} x 1"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,EE,371,"3M 81728 Ribbed Retainer Nut Disc Pad Face Plate, 9 in Dia",49.72,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
5,EE,325,"3M 051144-45035 Flange Adapter, 1/2 in ID x 1 in OD, NO 3 Adapted Hole, Sheet Metal",5.22,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
5,EE,474,DC CUTOFF WHEEL 4.5X1/4X7/8 ALUM 46 MD,nan,AbrasivesCutting and Grinding (443)Grinding & Sharpening (268)Portable Grinding (182),dillonsupply.com
5,EE,123,"Productivity1000 discrete input module, 16-point, 24 VAC/VDC, sinking/sourcing, 2 isolated common(s), 8 point(s) per common. Requires P2-RTB or P2-RTB-1 removable terminal block or ZIPLink pre-wired cables.",56.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|DC & Combo I/O,Automation Direct
5,EE,125,"Productivity1000 discrete output module, 8-point, 12-24 VDC, sourcing, 1 common(s), 8 point(s) per common, 1A/point. Requires P1-10RTB or P1-10RTB-1 removable terminal block or ZIPLink pre-wired cables.",34.5,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|DC & Combo I/O,Automation Direct
5,EE,895,"1/2"" {A} x 3-1/2"" {B} 4140 Cold Finished, Annealed - 12""",25.8,"Alloy|Flat|Cold Finished|1/2"" {A} x 3-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,EE,865,"1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed - 24""",22.72,"Alloy|Flat|Cold Finished|1/2"" {A} x 1-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,EE,327,"Weiler® 07772P Arbor Adapter, 5/8-11 to M10x1.5",5.9,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
5,EE,881,"1/2"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed - 24""",36.58,"Alloy|Flat|Cold Finished|1/2"" {A} x 2-1/2"" {B} 4140 Cold Finished, Annealed",Speedy Metals
5,EE,74,"CLICK Ethernet Standard PLC, 24 VDC required, Ethernet and serial ports, Discrete Input: 8-point, DC, Discrete Output: 6-point, sourcing.",153.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|PLC Units,Automation Direct
6,CPE,120,"Productivity1000 discrete input module, 8-point, 12-24 VDC, sinking/sourcing, 2 common(s), 4 point(s) per common. Requires P1-10RTB or P1-10RTB-1 removable terminal block or ZIPLink pre-wired cables.",35.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|DC & Combo I/O,Automation Direct
6,CPE,14,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 3ft cable length, green. For use with 10/100/1000 Mbps networks.",4.75,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
6,CPE,52,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 50ft cable length, black. For use with 10/100/1000 Mbps networks.",26.0,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
6,CPE,329,Trim-Kut® 56485 Adapting Nut,25.33,Abrasives|Abrasive Accessories|Adapters & Bushings,Blackhawk Industrial
6,CPE,366,"3M 80514 Ribbed Retainer Nut Disc Pad Face Plate, 7 in Dia",27.9,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,CPE,414,"Dynabrade® 56252 Channel Vacuum Backing Pad, 5 Holes, 5 in Dia, 5/16-24 Male, PSA Attachment, Urethane/Vinyl Face",34.76,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,CPE,23,"Cat5E straight-through patch cable, STP (overall foil shield), (2) RJ45 male connectors, 7ft cable length, purple. For use with 10/100/1000 Mbps networks.",7.25,Communications|Cables & Accessories|Ethernet|Cat5e Patch Cables (Shielded Twisted Pair),Automation Direct
6,CPE,359,"Dynabrade® 57953 Non-Vacuum Disc Backing Pad, 3-3/4 in Dia, Hook Attachment",21.85,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,CPE,6,"ProSense hydrostatic submersible level transmitter, 0 to 5 psig (11.5ft of water column) sensing range, 4-20 mA, stainless steel body and non-fouling stainless steel protective cage, 1/2in male NPT with shielded and vented 30ft cable.",482.0,Process Control & Measurement|Level Sensors & Controllers|Submersible Level Sensors,Automation Direct
6,CPE,381,"Dynabrade® 53997 Gear Driven Vacuum Disc Backing Pad, 15 Holes, 11 in Dia, 5/6-24 Male, Hook Attachment, Vinyl",176.17,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,CPE,96,"CLICK discrete combo module, Input: 8-point, 24 VDC, sinking/sourcing, Output: 8-point, 5-27 VDC, sinking, 0.1A/point. Removable terminal block included.",60.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|DC I/O,Automation Direct
6,CPE,444,"Dynabrade® 54335 Non-Vacuum Disc Backing Pad With 5 Screws, 8 in Dia, Hook Attachment, Rubber",42.32,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
6,CPE,108,"CLICK analog combo module, Input: 4-channel, voltage, 0-10 VDC, Output: 2-channel, voltage, 0-10 VDC.",153.0,Programmable Controllers|CLICK Series PLCs (Stackable Micro Brick)|Analog I/O,Automation Direct
6,CPE,128,"Productivity1000 discrete combo module, Input: 8-point, 12-24 VDC, sinking/sourcing, Output: 7-point, 3.3-24 VDC, sinking, 1A/point. Requires P2-RTB or P2-RTB-1 removable terminal block or ZIPLink pre-wired cables.",61.0,Programmable Controllers|Productivity Series ...|Productivity1000 (St...|DC & Combo I/O,Automation Direct
6,CPE,405,"Dynabrade® 50284 Medium Density, Quick-Change Disc Backing Pad, 9 in Dia, 5/8-11 Female, Locking Attachment, Rubber",67.97,Abrasives|Abrasive Accessories|Backing Pads,Blackhawk Industrial
